review,sentiment,total_words,total_chars,sequence,padded
go far many place never seen restaurant serf egg breakfast especially,0,11,69,"[21, 90, 117, 10, 38, 99, 83, 1803, 724, 353, 216]","[  21   90  117   10   38   99   83 1803  724  353  216    0    0    0
    0    0]"
mom got home immediately got sick bite salad,0,8,44,"[1237, 53, 388, 883, 53, 485, 899, 186]","[1237   53  388  883   53  485  899  186    0    0    0    0    0    0
    0    0]"
server pleasant deal always honor pizza hut coupon,0,8,50,"[173, 773, 349, 125, 3808, 187, 3809, 1757]","[ 173  773  349  125 3808  187 3809 1757    0    0    0    0    0    0
    0    0]"
truly unbelievably good glad went back,1,6,38,"[304, 3810, 1, 325, 145, 22]","[ 304 3810    1  325  145   22    0    0    0    0    0    0    0    0
    0    0]"
fantastic service pleased atmosphere,1,4,36,"[167, 12, 337, 283]",[167  12 337 283   0   0   0   0   0   0   0   0   0   0   0   0]
everything gross,0,2,16,"[60, 943]",[ 60 943   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
love place,1,2,10,"[26, 10]",[26 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
great service food,1,3,18,"[3, 12, 9]",[ 3 12  9  0  0  0  0  0  0  0  0  0  0  0  0  0]
first bathroom location dirty seat cover replenished plain yucky,0,9,64,"[42, 719, 487, 710, 955, 492, 3811, 652, 3812]","[  42  719  487  710  955  492 3811  652 3812    0    0    0    0    0
    0    0]"
burger got gold standard burger kind disappointed,0,7,49,"[198, 53, 1829, 1713, 198, 204, 71]","[ 198   53 1829 1713  198  204   71    0    0    0    0    0    0    0
    0    0]"
omg food delicioso,1,3,18,"[1856, 9, 3813]","[1856    9 3813    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
nothing authentic place,0,3,23,"[95, 523, 10]",[ 95 523  10   0   0   0   0   0   0   0   0   0   0   0   0   0]
spaghetti nothing special whatsoever,0,4,36,"[3814, 95, 223, 640]","[3814   95  223  640    0    0    0    0    0    0    0    0    0    0
    0    0]"
dish salmon best great,1,4,22,"[212, 898, 18, 3]",[212 898  18   3   0   0   0   0   0   0   0   0   0   0   0   0]
vegetable fresh sauce feel like authentic thai,1,7,46,"[914, 191, 446, 118, 11, 523, 717]",[914 191 446 118  11 523 717   0   0   0   0   0   0   0   0   0]
worth driving tucson,1,3,20,"[93, 1158, 3815]","[  93 1158 3815    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
selection probably worst seen vega there none,0,7,45,"[240, 132, 51, 99, 126, 115, 385]",[240 132  51  99 126 115 385   0   0   0   0   0   0   0   0   0]
pretty good beer selection too,1,5,30,"[46, 1, 399, 240, 179]",[ 46   1 399 240 179   0   0   0   0   0   0   0   0   0   0   0]
place like chipotle better,1,4,26,"[10, 11, 3816, 36]","[  10   11 3816   36    0    0    0    0    0    0    0    0    0    0
    0    0]"
classy warm atmosphere fun fresh appetizer succulent steak baseball steak,1,10,73,"[1752, 527, 283, 364, 191, 1207, 3817, 174, 3818, 174]","[1752  527  283  364  191 1207 3817  174 3818  174    0    0    0    0
    0    0]"
star brick oven bread app,1,5,25,"[81, 3819, 3820, 723, 3821]","[  81 3819 3820  723 3821    0    0    0    0    0    0    0    0    0
    0    0]"
eaten multiple time time food delicious,1,6,39,"[718, 1186, 8, 8, 9, 127]","[ 718 1186    8    8    9  127    0    0    0    0    0    0    0    0
    0    0]"
sat another ten minute finally gave left,0,7,40,"[550, 136, 823, 54, 432, 367, 271]",[550 136 823  54 432 367 271   0   0   0   0   0   0   0   0   0]
terrible,0,1,8,[72],[72  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
everyone treated equally special,1,4,32,"[275, 1222, 1238, 223]","[ 275 1222 1238  223    0    0    0    0    0    0    0    0    0    0
    0    0]"
take min pancake egg,0,4,20,"[124, 860, 1239, 724]","[ 124  860 1239  724    0    0    0    0    0    0    0    0    0    0
    0    0]"
good side staff genuinely pleasant enthusiastic real treat,1,8,58,"[1, 196, 172, 3822, 773, 3823, 91, 968]","[   1  196  172 3822  773 3823   91  968    0    0    0    0    0    0
    0    0]"
sadly gordon ramsey steak place shall sharply avoid next trip vega,0,11,66,"[3824, 3825, 3826, 174, 10, 3827, 3828, 225, 209, 552, 126]","[3824 3825 3826  174   10 3827 3828  225  209  552  126    0    0    0
    0    0]"
always evening wonderful food delicious,1,5,39,"[125, 1857, 110, 9, 127]","[ 125 1857  110    9  127    0    0    0    0    0    0    0    0    0
    0    0]"
best fish ever life,1,4,19,"[18, 558, 20, 92]",[ 18 558  20  92   0   0   0   0   0   0   0   0   0   0   0   0]
the bathroom next door nice,1,5,27,"[245, 719, 209, 1240, 32]","[ 245  719  209 1240   32    0    0    0    0    0    0    0    0    0
    0    0]"
buffet small food offered bland,0,5,31,"[236, 182, 9, 3829, 250]","[ 236  182    9 3829  250    0    0    0    0    0    0    0    0    0
    0    0]"
outstanding little restaurant best food ever tasted,1,7,51,"[1235, 63, 83, 18, 9, 20, 452]","[1235   63   83   18    9   20  452    0    0    0    0    0    0    0
    0    0]"
pretty cool would say,1,4,21,"[46, 200, 17, 55]",[ 46 200  17  55   0   0   0   0   0   0   0   0   0   0   0   0]
definitely turn doubt back unless someone else buying,0,8,53,"[65, 274, 1109, 22, 508, 581, 484, 879]","[  65  274 1109   22  508  581  484  879    0    0    0    0    0    0
    0    0]"
server great job handling large rowdy table,1,7,43,"[173, 3, 138, 3830, 689, 3831, 230]","[ 173    3  138 3830  689 3831  230    0    0    0    0    0    0    0
    0    0]"
find wasting food despicable food,0,5,33,"[148, 841, 9, 3832, 9]","[ 148  841    9 3832    9    0    0    0    0    0    0    0    0    0
    0    0]"
wife lobster bisque soup lukewarm,0,5,33,"[440, 1231, 1833, 726, 1858]","[ 440 1231 1833  726 1858    0    0    0    0    0    0    0    0    0
    0    0]"
would come back sushi craving vega,1,6,34,"[17, 119, 22, 256, 3833, 126]","[  17  119   22  256 3833  126    0    0    0    0    0    0    0    0
    0    0]"
staff great ambiance great,1,4,26,"[172, 3, 535, 3]",[172   3 535   3   0   0   0   0   0   0   0   0   0   0   0   0]
deserves star,1,2,13,"[744, 81]",[744  81   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
left stomach ache felt sick rest day,0,7,36,"[271, 1241, 3834, 221, 485, 455, 87]","[ 271 1241 3834  221  485  455   87    0    0    0    0    0    0    0
    0    0]"
dropped ball,0,2,12,"[386, 986]",[386 986   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
dining space tiny elegantly decorated comfortable,1,6,49,"[448, 818, 1064, 3835, 1816, 142]","[ 448  818 1064 3835 1816  142    0    0    0    0    0    0    0    0
    0    0]"
customize order way like usual eggplant green bean stir fry love it,1,12,67,"[3836, 170, 43, 11, 780, 1859, 624, 915, 1851, 289, 26, 7]","[3836  170   43   11  780 1859  624  915 1851  289   26    7    0    0
    0    0]"
bean rice mediocre best,0,4,23,"[915, 673, 387, 18]",[915 673 387  18   0   0   0   0   0   0   0   0   0   0   0   0]
best taco town far,1,4,18,"[18, 607, 533, 90]",[ 18 607 533  90   0   0   0   0   0   0   0   0   0   0   0   0]
took back money got outta there,0,6,31,"[272, 22, 85, 53, 3837, 115]","[ 272   22   85   53 3837  115    0    0    0    0    0    0    0    0
    0    0]"
interesting part town place amazing,1,5,35,"[241, 135, 533, 10, 62]",[241 135 533  10  62   0   0   0   0   0   0   0   0   0   0   0]
rude inconsiderate management,0,3,29,"[449, 3838, 525]","[ 449 3838  525    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
staff friendly wait time served horrible one even say hi first minute,0,12,69,"[172, 77, 231, 8, 610, 163, 6, 19, 55, 3839, 42, 54]","[ 172   77  231    8  610  163    6   19   55 3839   42   54    0    0
    0    0]"
back,0,1,4,[22],[22  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
great dinner,1,2,12,"[3, 536]",[  3 536   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
service outshining definitely recommend halibut,1,5,47,"[12, 3840, 65, 40, 3841]","[  12 3840   65   40 3841    0    0    0    0    0    0    0    0    0
    0    0]"
food terrible,0,2,13,"[9, 72]",[ 9 72  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
never ever go back told many people happened,0,8,44,"[38, 20, 21, 22, 570, 117, 68, 554]",[ 38  20  21  22 570 117  68 554   0   0   0   0   0   0   0   0]
recommend unless car break front starving,0,6,41,"[40, 508, 153, 444, 463, 3842]","[  40  508  153  444  463 3842    0    0    0    0    0    0    0    0
    0    0]"
come back every time vega,1,5,25,"[119, 22, 70, 8, 126]",[119  22  70   8 126   0   0   0   0   0   0   0   0   0   0   0]
place deserves one star food,0,5,28,"[10, 744, 6, 81, 9]",[ 10 744   6  81   9   0   0   0   0   0   0   0   0   0   0   0]
disgrace,0,1,8,[1540],"[1540    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
def coming back bowl next time,1,6,30,"[3843, 249, 22, 1825, 209, 8]","[3843  249   22 1825  209    8    0    0    0    0    0    0    0    0
    0    0]"
want healthy authentic ethic food try place,1,7,43,"[94, 1224, 523, 3844, 9, 194, 10]","[  94 1224  523 3844    9  194   10    0    0    0    0    0    0    0
    0    0]"
continue come lady night andddd date night highly recommend place anyone area,1,12,77,"[1049, 119, 669, 162, 3845, 896, 162, 116, 40, 10, 129, 441]","[1049  119  669  162 3845  896  162  116   40   10  129  441    0    0
    0    0]"
several time past experience always great,1,6,41,"[267, 8, 1060, 75, 125, 3]","[ 267    8 1060   75  125    3    0    0    0    0    0    0    0    0
    0    0]"
walked away stuffed happy first vega buffet experience,1,8,54,"[537, 242, 1860, 120, 42, 126, 236, 75]","[ 537  242 1860  120   42  126  236   75    0    0    0    0    0    0
    0    0]"
service excellent price pretty reasonable considering vega located inside crystal shopping mall aria,1,13,100,"[12, 34, 47, 46, 482, 564, 126, 3846, 347, 3847, 3848, 1861, 3849]","[  12   34   47   46  482  564  126 3846  347 3847 3848 1861 3849    0
    0    0]"
summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,1,14,109,"[3850, 9, 273, 3851, 3852, 95, 3853, 635, 97, 11, 656, 3854, 3855, 3856]","[3850    9  273 3851 3852   95 3853  635   97   11  656 3854 3855 3856
    0    0]"
probably one people ever go ians like it,0,8,40,"[132, 6, 68, 20, 21, 3857, 11, 7]","[ 132    6   68   20   21 3857   11    7    0    0    0    0    0    0
    0    0]"
kid pizza always hit lot great side dish option kiddos,1,10,54,"[292, 187, 125, 521, 79, 3, 196, 212, 597, 3858]","[ 292  187  125  521   79    3  196  212  597 3858    0    0    0    0
    0    0]"
service perfect family atmosphere nice see,1,6,42,"[12, 202, 193, 283, 32, 50]",[ 12 202 193 283  32  50   0   0   0   0   0   0   0   0   0   0]
cooked perfection service impeccable,1,4,36,"[531, 1862, 12, 1863]","[ 531 1862   12 1863    0    0    0    0    0    0    0    0    0    0
    0    0]"
one simply disappointment,0,3,25,"[6, 203, 330]",[  6 203 330   0   0   0   0   0   0   0   0   0   0   0   0   0]
overall disappointed quality food bouchon,0,5,41,"[159, 71, 24, 9, 3859]","[ 159   71   24    9 3859    0    0    0    0    0    0    0    0    0
    0    0]"
accountant know getting screwed,0,4,31,"[3860, 76, 280, 3861]","[3860   76  280 3861    0    0    0    0    0    0    0    0    0    0
    0    0]"
great place eat reminds little mom pop shop san francisco bay area,1,12,66,"[3, 10, 157, 3862, 63, 1237, 1864, 1865, 3863, 3864, 907, 441]","[   3   10  157 3862   63 1237 1864 1865 3863 3864  907  441    0    0
    0    0]"
today first taste buldogis gourmet hot dog tell ever thought possible,1,11,69,"[360, 42, 226, 3865, 3866, 443, 838, 335, 20, 128, 476]","[ 360   42  226 3865 3866  443  838  335   20  128  476    0    0    0
    0    0]"
left frustrated,0,2,15,"[271, 3867]","[ 271 3867    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
definitely soon again,1,3,21,"[65, 307, 69]",[ 65 307  69   0   0   0   0   0   0   0   0   0   0   0   0   0]
food really good got full petty fast,1,7,36,"[9, 13, 1, 53, 310, 3868, 253]","[   9   13    1   53  310 3868  253    0    0    0    0    0    0    0
    0    0]"
service fantastic,1,2,17,"[12, 167]",[ 12 167   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
total waste time,0,3,16,"[648, 84, 8]",[648  84   8   0   0   0   0   0   0   0   0   0   0   0   0   0]
know kind best iced tea,1,5,23,"[76, 204, 18, 3869, 912]","[  76  204   18 3869  912    0    0    0    0    0    0    0    0    0
    0    0]"
come hungry leave happy stuffed,1,5,31,"[119, 3870, 576, 120, 1860]","[ 119 3870  576  120 1860    0    0    0    0    0    0    0    0    0
    0    0]"
service give star,0,3,17,"[12, 107, 81]",[ 12 107  81   0   0   0   0   0   0   0   0   0   0   0   0   0]
assure disappointed,1,2,19,"[1866, 71]","[1866   71    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
take little bad service food suck,0,6,33,"[124, 63, 15, 12, 9, 168]",[124  63  15  12   9 168   0   0   0   0   0   0   0   0   0   0]
gave trying eat crust teeth still sore,0,7,38,"[367, 403, 157, 1772, 1494, 56, 3871]","[ 367  403  157 1772 1494   56 3871    0    0    0    0    0    0    0
    0    0]"
completely grossed out,0,3,22,"[246, 1782, 290]","[ 246 1782  290    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
really enjoyed eating here,1,4,26,"[13, 214, 447, 96]",[ 13 214 447  96   0   0   0   0   0   0   0   0   0   0   0   0]
first time going think quickly become regular,1,7,45,"[42, 8, 67, 45, 515, 575, 1242]","[  42    8   67   45  515  575 1242    0    0    0    0    0    0    0
    0    0]"
server nice even though looked little overwhelmed need stayed professional friendly end,1,12,87,"[173, 32, 19, 215, 660, 63, 1776, 192, 1102, 1867, 77, 154]","[ 173   32   19  215  660   63 1776  192 1102 1867   77  154    0    0
    0    0]"
dinner companion told me everything fresh nice texture taste,1,9,60,"[536, 3872, 570, 103, 60, 191, 32, 1195, 226]","[ 536 3872  570  103   60  191   32 1195  226    0    0    0    0    0
    0    0]"
ground right next table large smeared been stepped in and tracked everywhere pile green bird poop,0,16,97,"[1470, 64, 209, 230, 689, 3873, 3874, 1827, 605, 298, 3875, 1115, 1401, 624, 3876, 3877]","[1470   64  209  230  689 3873 3874 1827  605  298 3875 1115 1401  624
 3876 3877]"
furthermore can t even find hour operation website,0,8,50,"[3878, 106, 74, 19, 148, 104, 3879, 857]","[3878  106   74   19  148  104 3879  857    0    0    0    0    0    0
    0    0]"
tried like place time think done them,0,7,37,"[211, 11, 10, 8, 45, 208, 332]",[211  11  10   8  45 208 332   0   0   0   0   0   0   0   0   0]
mistake wa,0,2,10,"[505, 497]",[505 497   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
complaint,1,1,9,[690],[690   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
seriously good pizza expert connisseur topic,1,6,44,"[278, 1, 187, 1533, 3880, 3881]","[ 278    1  187 1533 3880 3881    0    0    0    0    0    0    0    0
    0    0]"
waiter jerk,0,2,11,"[529, 1678]","[ 529 1678    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
strike want rushed,0,3,18,"[3882, 94, 3883]","[3882   94 3883    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
nicest restaurant owner ever come across,1,6,40,"[1868, 83, 389, 20, 119, 3884]","[1868   83  389   20  119 3884    0    0    0    0    0    0    0    0
    0    0]"
never come again,0,3,16,"[38, 119, 69]",[ 38 119  69   0   0   0   0   0   0   0   0   0   0   0   0   0]
loved biscuit,1,2,13,"[134, 1243]","[ 134 1243    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
service quick friendly,1,3,22,"[12, 438, 77]",[ 12 438  77   0   0   0   0   0   0   0   0   0   0   0   0   0]
ordered appetizer took minute pizza another minute,0,7,50,"[184, 1207, 272, 54, 187, 136, 54]","[ 184 1207  272   54  187  136   54    0    0    0    0    0    0    0
    0    0]"
absolutley fantastic,1,2,20,"[3885, 167]","[3885  167    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
huge awkward lb piece cow th gristle fat,0,8,40,"[343, 1760, 3886, 80, 1869, 622, 3887, 1536]","[ 343 1760 3886   80 1869  622 3887 1536    0    0    0    0    0    0
    0    0]"
definitely come back again,1,4,26,"[65, 119, 22, 69]",[ 65 119  22  69   0   0   0   0   0   0   0   0   0   0   0   0]
like steiner dark feel like bar,1,6,31,"[11, 3888, 1065, 118, 11, 227]","[  11 3888 1065  118   11  227    0    0    0    0    0    0    0    0
    0    0]"
wow spicy delicious,1,3,19,"[580, 534, 127]",[580 534 127   0   0   0   0   0   0   0   0   0   0   0   0   0]
familiar check out,1,3,18,"[1779, 376, 290]","[1779  376  290    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
take business dinner dollar elsewhere,0,5,37,"[124, 468, 536, 972, 578]",[124 468 536 972 578   0   0   0   0   0   0   0   0   0   0   0]
love go back,1,3,12,"[26, 21, 22]",[26 21 22  0  0  0  0  0  0  0  0  0  0  0  0  0]
anyway f restaurant wonderful breakfast lunch,1,6,45,"[853, 1596, 83, 110, 353, 351]","[ 853 1596   83  110  353  351    0    0    0    0    0    0    0    0
    0    0]"
nothing special,0,2,15,"[95, 223]",[ 95 223   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
day week different deal delicious,1,5,33,"[87, 287, 315, 349, 127]",[ 87 287 315 349 127   0   0   0   0   0   0   0   0   0   0   0]
mention combination pear almond bacon big winner,1,7,48,"[824, 1122, 3889, 3890, 721, 151, 1639]","[ 824 1122 3889 3890  721  151 1639    0    0    0    0    0    0    0
    0    0]"
sauce tasteless,0,2,15,"[446, 715]",[446 715   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
food delicious spicy enough sure ask spicier prefer way,1,9,55,"[9, 127, 534, 61, 188, 410, 3891, 3892, 43]","[   9  127  534   61  188  410 3891 3892   43    0    0    0    0    0
    0    0]"
ribeye steak cooked perfectly great mesquite flavor,1,7,51,"[3893, 174, 531, 279, 3, 3894, 233]","[3893  174  531  279    3 3894  233    0    0    0    0    0    0    0
    0    0]"
think going back anytime soon,0,5,29,"[45, 67, 22, 727, 307]",[ 45  67  22 727 307   0   0   0   0   0   0   0   0   0   0   0]
food gooodd,1,2,11,"[9, 3895]","[   9 3895    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
far sushi connoisseur definitely tell difference good food bad food certainly bad food,0,13,86,"[90, 256, 3896, 65, 335, 1528, 1, 9, 15, 9, 294, 15, 9]","[  90  256 3896   65  335 1528    1    9   15    9  294   15    9    0
    0    0]"
insulted,0,1,8,[1228],"[1228    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
last time lunch bad,0,4,19,"[122, 8, 351, 15]",[122   8 351  15   0   0   0   0   0   0   0   0   0   0   0   0]
chicken wing contained driest chicken meat ever eaten,0,8,53,"[171, 909, 1432, 1870, 171, 352, 20, 718]","[ 171  909 1432 1870  171  352   20  718    0    0    0    0    0    0
    0    0]"
food good enjoyed every mouthful enjoyable relaxed venue couple small family group etc,1,13,86,"[9, 1, 214, 70, 3897, 1051, 3898, 3899, 338, 182, 193, 1244, 561]","[   9    1  214   70 3897 1051 3898 3899  338  182  193 1244  561    0
    0    0]"
nargile think great,1,3,19,"[3900, 45, 3]","[3900   45    3    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
best tater tot southwest,1,4,24,"[18, 3901, 1871, 3902]","[  18 3901 1871 3902    0    0    0    0    0    0    0    0    0    0
    0    0]"
loved place,1,2,11,"[134, 10]",[134  10   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
definitely worth paid,0,3,21,"[65, 93, 764]",[ 65  93 764   0   0   0   0   0   0   0   0   0   0   0   0   0]
vanilla ice cream creamy smooth profiterole chou pastry fresh enough,1,10,68,"[3903, 722, 906, 1841, 3904, 3905, 3906, 3907, 191, 61]","[3903  722  906 1841 3904 3905 3906 3907  191   61    0    0    0    0
    0    0]"
im az time new spot,1,5,19,"[840, 3908, 8, 86, 400]","[ 840 3908    8   86  400    0    0    0    0    0    0    0    0    0
    0    0]"
manager worst,0,2,13,"[916, 51]",[916  51   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
inside really quite nice clean,1,5,30,"[347, 13, 97, 32, 401]",[347  13  97  32 401   0   0   0   0   0   0   0   0   0   0   0]
food outstanding price reasonable,1,4,33,"[9, 1235, 47, 482]","[   9 1235   47  482    0    0    0    0    0    0    0    0    0    0
    0    0]"
think running back carly anytime soon food,0,7,42,"[45, 538, 22, 3909, 727, 307, 9]","[  45  538   22 3909  727  307    9    0    0    0    0    0    0    0
    0    0]"
due fact took minute acknowledged another minute get food and kept forgetting thing,0,13,83,"[830, 266, 272, 54, 1872, 136, 54, 25, 9, 298, 345, 1376, 31]","[ 830  266  272   54 1872  136   54   25    9  298  345 1376   31    0
    0    0]"
love margarita too,1,3,18,"[26, 1873, 179]","[  26 1873  179    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
first vega buffet disappoint,1,4,28,"[42, 126, 236, 1194]","[  42  126  236 1194    0    0    0    0    0    0    0    0    0    0
    0    0]"
good though,1,2,11,"[1, 215]",[  1 215   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
one note ventilation could use upgrading,0,6,40,"[6, 655, 3910, 37, 44, 3911]","[   6  655 3910   37   44 3911    0    0    0    0    0    0    0    0
    0    0]"
great pork sandwich,1,3,19,"[3, 905, 350]",[  3 905 350   0   0   0   0   0   0   0   0   0   0   0   0   0]
waste time here,0,3,15,"[84, 8, 96]",[84  8 96  0  0  0  0  0  0  0  0  0  0  0  0  0]
total letdown would much rather go camelback flower shop cartel coffee,0,11,70,"[648, 3912, 17, 33, 237, 21, 3913, 1874, 1865, 3914, 1846]","[ 648 3912   17   33  237   21 3913 1874 1865 3914 1846    0    0    0
    0    0]"
third cheese friend burger cold,0,5,31,"[894, 1218, 268, 198, 451]","[ 894 1218  268  198  451    0    0    0    0    0    0    0    0    0
    0    0]"
enjoy pizza brunch,1,3,18,"[261, 187, 1229]","[ 261  187 1229    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
steak well trimmed also perfectly cooked,1,6,40,"[174, 16, 3915, 23, 279, 531]","[ 174   16 3915   23  279  531    0    0    0    0    0    0    0    0
    0    0]"
group claimed would handled u beautifully,1,6,41,"[1244, 3916, 17, 963, 102, 1579]","[1244 3916   17  963  102 1579    0    0    0    0    0    0    0    0
    0    0]"
loved it,1,2,8,"[134, 7]",[134   7   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
asked bill leave without eating bring either,0,7,44,"[712, 888, 576, 244, 447, 470, 220]",[712 888 576 244 447 470 220   0   0   0   0   0   0   0   0   0]
place jewel la vega exactly hoping find nearly ten year living here,1,12,67,"[10, 3917, 3918, 126, 574, 1144, 148, 729, 823, 58, 560, 96]","[  10 3917 3918  126  574 1144  148  729  823   58  560   96    0    0
    0    0]"
seafood limited boiled shrimp crab leg crab leg definitely taste fresh,0,11,70,"[714, 1500, 3919, 608, 1875, 1876, 1875, 1876, 65, 226, 191]","[ 714 1500 3919  608 1875 1876 1875 1876   65  226  191    0    0    0
    0    0]"
selection food best,0,3,19,"[240, 9, 18]",[240   9  18   0   0   0   0   0   0   0   0   0   0   0   0   0]
delicious absolutely back,1,3,25,"[127, 131, 22]",[127 131  22   0   0   0   0   0   0   0   0   0   0   0   0   0]
small family restaurant fine dining establishment,1,6,49,"[182, 193, 83, 141, 448, 901]",[182 193  83 141 448 901   0   0   0   0   0   0   0   0   0   0]
toro tartare cavier extraordinary liked thinly sliced wagyu white truffle,1,10,73,"[3920, 3921, 3922, 1567, 239, 3923, 1877, 3924, 382, 3925]","[3920 3921 3922 1567  239 3923 1877 3924  382 3925    0    0    0    0
    0    0]"
dont think back long time,0,5,25,"[583, 45, 22, 89, 8]",[583  45  22  89   8   0   0   0   0   0   0   0   0   0   0   0]
attached gas station rarely good sign,0,6,37,"[3926, 1492, 865, 1814, 1, 833]","[3926 1492  865 1814    1  833    0    0    0    0    0    0    0    0
    0    0]"
awesome that,1,2,12,"[139, 82]",[139  82   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
back many time soon,1,4,19,"[22, 117, 8, 307]",[ 22 117   8 307   0   0   0   0   0   0   0   0   0   0   0   0]
menu much good stuff could decide,1,6,33,"[197, 33, 1, 674, 37, 3927]","[ 197   33    1  674   37 3927    0    0    0    0    0    0    0    0
    0    0]"
worse all humiliated worker right front me bunch horrible name calling,0,11,70,"[305, 100, 3928, 1878, 64, 463, 103, 966, 163, 3929, 3930]","[ 305  100 3928 1878   64  463  103  966  163 3929 3930    0    0    0
    0    0]"
conclusion filling meal,1,3,23,"[821, 1879, 232]","[ 821 1879  232    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
daily special always hit group,1,5,30,"[3931, 223, 125, 521, 1244]","[3931  223  125  521 1244    0    0    0    0    0    0    0    0    0
    0    0]"
tragedy struck,0,2,14,"[3932, 1345]","[3932 1345    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
pancake also really good pretty large that,1,7,42,"[1239, 23, 13, 1, 46, 689, 82]","[1239   23   13    1   46  689   82    0    0    0    0    0    0    0
    0    0]"
first crawfish experience delicious,1,4,35,"[42, 3933, 75, 127]","[  42 3933   75  127    0    0    0    0    0    0    0    0    0    0
    0    0]"
monster chicken fried steak egg time favorite,1,7,45,"[1488, 171, 913, 174, 724, 8, 681]","[1488  171  913  174  724    8  681    0    0    0    0    0    0    0
    0    0]"
waitress sweet funny,1,3,20,"[336, 572, 177]",[336 572 177   0   0   0   0   0   0   0   0   0   0   0   0   0]
also taste mom multi grain pumpkin pancake pecan butter amazing fluffy delicious,1,12,80,"[23, 226, 1237, 3934, 3935, 3936, 1239, 3937, 1226, 62, 3938, 127]","[  23  226 1237 3934 3935 3936 1239 3937 1226   62 3938  127    0    0
    0    0]"
rather eat airline food seriously,0,5,33,"[237, 157, 3939, 9, 278]","[ 237  157 3939    9  278    0    0    0    0    0    0    0    0    0
    0    0]"
cant say enough good thing place,1,6,32,"[884, 55, 61, 1, 31, 10]",[884  55  61   1  31  10   0   0   0   0   0   0   0   0   0   0]
ambiance incredible,1,2,19,"[535, 273]",[535 273   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
waitress manager friendly,1,3,25,"[336, 916, 77]",[336 916  77   0   0   0   0   0   0   0   0   0   0   0   0   0]
would recommend place,0,3,21,"[17, 40, 10]",[17 40 10  0  0  0  0  0  0  0  0  0  0  0  0  0]
overall impressed noca,0,3,22,"[159, 156, 3940]","[ 159  156 3940    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
gyro basically lettuce only,0,4,27,"[1227, 680, 3941, 1164]","[1227  680 3941 1164    0    0    0    0    0    0    0    0    0    0
    0    0]"
terrible service,0,2,16,"[72, 12]",[72 12  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
thoroughly disappointed,0,2,23,"[787, 71]",[787  71   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
much pasta love homemade hand made pasta thin pizza here,1,10,56,"[33, 609, 26, 1880, 288, 28, 609, 598, 187, 96]","[  33  609   26 1880  288   28  609  598  187   96    0    0    0    0
    0    0]"
give try happy did,1,4,18,"[107, 194, 120, 596]",[107 194 120 596   0   0   0   0   0   0   0   0   0   0   0   0]
far best cheesecurds ever had,1,5,29,"[90, 18, 3942, 20, 390]","[  90   18 3942   20  390    0    0    0    0    0    0    0    0    0
    0    0]"
reasonably priced also,1,3,22,"[698, 392, 23]",[698 392  23   0   0   0   0   0   0   0   0   0   0   0   0   0]
everything perfect night in,1,4,27,"[60, 202, 162, 605]",[ 60 202 162 605   0   0   0   0   0   0   0   0   0   0   0   0]
